EMPID,Team,Cluster,Qualification,Sex,Recruitment_Mode,Number of Certifications,Age,Last Year Rating,Years_Of_Exp,KPIs_Met? >80%,Performer_Award??,Avg_KPI_Score,Is_Retained?
65438,Sales & Marketing,Cluster_7,Master's & above,f,sourcing,1,35,5,8,1,0,49,0
65141,Operations,Cluster_22,Bachelor's,m,other,1,30,5,4,0,0,60,0
7513,Sales & Marketing,Cluster_19,Bachelor's,m,sourcing,1,34,3,7,0,0,50,0
2542,Sales & Marketing,Cluster_23,Bachelor's,m,other,2,39,1,10,0,0,50,0
48945,Technology,Cluster_26,Bachelor's,m,other,1,45,3,2,0,0,73,0
58896,Analytics,Cluster_2,Bachelor's,m,sourcing,2,31,3,7,0,0,85,0
20379,Operations,Cluster_20,Bachelor's,f,other,1,31,3,5,0,0,59,0
16290,Operations,Cluster_34,Master's & above,m,sourcing,1,33,3,6,0,0,63,0
73202,Analytics,Cluster_20,Bachelor's,m,other,1,28,4,5,0,0,83,0
28911,Sales & Marketing,Cluster_1,Master's & above,m,sourcing,1,32,5,5,1,0,54,0
29934,Technology,Cluster_23,,m,sourcing,1,30,,1,0,0,77,0
49017,Sales & Marketing,Cluster_7,Bachelor's,f,sourcing,1,35,5,3,1,0,50,1
60051,Sales & Marketing,Cluster_4,Bachelor's,m,sourcing,1,49,5,5,1,0,49,0
38401,Technology,Cluster_29,Master's & above,m,other,2,39,3,16,0,0,80,0
77040,R&D,Cluster_2,Master's & above,m,sourcing,1,37,3,7,0,0,84,0
43931,Operations,Cluster_7,Bachelor's,m,other,1,37,1,10,0,0,60,0
7152,Technology,Cluster_2,Bachelor's,m,other,1,38,3,5,1,0,77,0
9403,Sales & Marketing,Cluster_31,Bachelor's,m,other,1,34,1,4,0,0,51,0
17436,Sales & Marketing,Cluster_31,Bachelor's,m,other,1,34,5,8,1,0,46,0
54461,Operations,Cluster_15,Bachelor's,m,other,1,37,3,9,0,0,59,0
12067,Procurement,Cluster_14,Bachelor's,m,other,1,35,3,7,0,0,75,0
33332,Operations,Cluster_15,,m,sourcing,1,41,4,11,0,0,57,0
58789,Finance,Cluster_11,Bachelor's,f,other,1,28,3,4,0,0,63,0
71177,Procurement,Cluster_5,Bachelor's,m,other,1,27,,1,0,0,70,0
52057,Finance,Cluster_22,Master's & above,m,sourcing,2,39,5,7,0,0,59,0
26585,Technology,Cluster_22,Bachelor's,m,other,1,27,5,3,1,0,83,0
37749,Procurement,Cluster_26,Bachelor's,m,other,1,31,5,4,1,0,68,0
2370,Technology,Cluster_26,Bachelor's,m,other,1,33,4,4,0,0,79,0
8219,Analytics,Cluster_5,Bachelor's,m,other,1,29,5,3,1,0,80,0
74759,Sales & Marketing,Cluster_4,Bachelor's,m,sourcing,1,26,,1,0,0,44,0
27395,Procurement,Cluster_15,Bachelor's,m,sourcing,1,37,5,10,1,0,72,0
58536,Finance,Cluster_31,Bachelor's,m,other,2,26,1,2,0,0,61,0
35465,Sales & Marketing,Cluster_7,,f,sourcing,1,24,1,2,0,0,48,0
51756,Operations,Cluster_2,Bachelor's,m,sourcing,2,57,4,6,0,0,58,0
57011,Analytics,Cluster_22,Bachelor's,m,other,2,27,5,3,1,0,87,0
77064,Sales & Marketing,Cluster_22,Bachelor's,m,other,1,40,2,4,1,0,47,0
64062,Technology,Cluster_28,Bachelor's,m,sourcing,1,33,4,4,1,0,75,0
47123,Sales & Marketing,Cluster_7,Bachelor's,f,sourcing,1,40,5,3,0,0,47,0
56275,Sales & Marketing,Cluster_1,Master's & above,m,other,1,42,5,5,1,0,51,0
58304,Sales & Marketing,Cluster_28,Bachelor's,m,sourcing,1,33,5,6,1,0,51,1
25014,Technology,Cluster_15,Bachelor's,m,other,1,34,3,10,0,0,80,0
40097,Operations,Cluster_2,Bachelor's,f,other,2,23,4,2,1,0,57,0
23560,HR,Cluster_2,Bachelor's,m,sourcing,1,59,4,26,1,0,52,0
17423,Sales & Marketing,Cluster_2,,m,other,3,24,2,2,0,0,48,0
61758,Analytics,Cluster_2,Bachelor's,m,other,1,44,5,12,0,0,88,0
75009,Procurement,Cluster_17,Bachelor's,f,sourcing,1,50,5,11,0,0,71,0
17876,Procurement,Cluster_13,Master's & above,f,other,1,37,4,4,0,0,71,0
36924,Technology,Cluster_16,Bachelor's,m,sourcing,1,40,3,11,0,0,80,0
50408,Sales & Marketing,Cluster_20,Bachelor's,m,sourcing,1,30,3,3,1,0,49,0
18013,Procurement,Cluster_2,Master's & above,f,sourcing,1,56,3,12,0,0,73,0
24104,Finance,Cluster_2,Bachelor's,m,sourcing,1,20,4,2,1,0,60,0
32083,Sales & Marketing,Cluster_25,Bachelor's,f,sourcing,1,31,3,8,0,0,48,0
38330,Procurement,Cluster_15,Bachelor's,m,sourcing,1,40,3,12,1,0,65,0
33690,HR,Cluster_22,Bachelor's,m,other,1,30,1,6,0,0,50,0
73161,Operations,Cluster_22,Bachelor's,m,other,1,39,3,5,1,0,62,0
13596,Analytics,Cluster_31,Bachelor's,m,other,2,26,2,2,0,0,85,0
45709,Sales & Marketing,Cluster_31,Bachelor's,f,other,1,29,,1,0,0,49,0
32709,R&D,Cluster_22,Master's & above,m,sourcing,1,40,3,5,1,0,84,0
26599,Sales & Marketing,Cluster_16,Bachelor's,m,other,2,27,,1,1,0,47,0
32656,Sales & Marketing,Cluster_19,Bachelor's,m,other,1,40,4,7,0,0,52,0
17673,Sales & Marketing,Cluster_4,Master's & above,m,other,1,50,4,17,1,0,47,1
3113,Sales & Marketing,Cluster_29,Bachelor's,m,sourcing,1,25,3,3,0,0,53,0
9150,Analytics,Cluster_22,Bachelor's,f,other,1,28,,1,1,0,80,0
14107,Sales & Marketing,Cluster_1,Master's & above,m,sourcing,1,35,4,2,1,0,52,0
58747,R&D,Cluster_26,Bachelor's,m,other,1,34,5,5,0,0,87,0
3342,Operations,Cluster_13,Master's & above,f,sourcing,1,31,3,3,1,0,58,0
77981,Finance,Cluster_22,Bachelor's,m,other,1,27,,1,1,1,58,1
16502,Sales & Marketing,Cluster_22,Bachelor's,m,sourcing,1,27,,1,0,0,61,1
73729,Procurement,Cluster_10,Bachelor's,m,other,1,30,4,6,1,0,75,0
45624,Analytics,Cluster_31,Bachelor's,m,other,1,30,3,7,1,0,84,1
75677,Operations,Cluster_22,Bachelor's,f,other,1,50,5,5,1,0,59,0
24040,Technology,Cluster_22,Master's & above,m,other,1,34,5,7,1,0,78,1
68082,Sales & Marketing,Cluster_2,Master's & above,f,sourcing,1,41,1,12,0,0,52,0
51786,Sales & Marketing,Cluster_16,Bachelor's,m,sourcing,1,32,4,6,0,0,44,0
77577,Sales & Marketing,Cluster_7,Bachelor's,m,other,1,50,3,14,0,0,52,0
54782,Sales & Marketing,Cluster_2,Master's & above,m,sourcing,1,38,4,2,1,0,49,1
52368,Sales & Marketing,Cluster_27,Bachelor's,m,sourcing,2,29,1,5,0,0,51,0
75103,Sales & Marketing,Cluster_30,Bachelor's,m,sourcing,1,35,4,3,1,0,53,0
7520,Analytics,Cluster_2,Bachelor's,m,other,1,25,3,2,1,0,91,0
59147,Sales & Marketing,Cluster_22,Bachelor's,m,sourcing,1,30,3,3,0,0,58,1
53092,Technology,Cluster_2,Bachelor's,m,referred,1,47,3,7,0,0,79,0
34564,Operations,Cluster_4,Master's & above,m,sourcing,1,35,2,7,0,0,53,0
66013,Sales & Marketing,Cluster_2,,m,sourcing,2,25,3,2,0,0,53,0
77135,R&D,Cluster_22,Bachelor's,m,other,1,36,4,8,0,0,82,0
44575,Legal,Cluster_7,Bachelor's,m,other,1,29,,1,0,0,65,1
47498,Operations,Cluster_11,Master's & above,f,sourcing,1,42,5,11,1,0,60,1
20798,HR,Cluster_20,Bachelor's,f,sourcing,1,28,2,6,0,0,52,0
69094,Sales & Marketing,Cluster_2,,m,sourcing,1,39,1,9,0,0,49,0
22261,Procurement,Cluster_7,Master's & above,m,sourcing,1,32,5,3,1,0,69,1
9589,Sales & Marketing,Cluster_31,Bachelor's,f,other,1,31,,1,0,0,51,0
62658,Sales & Marketing,Cluster_2,,f,sourcing,1,20,,1,0,0,55,0
21628,Analytics,Cluster_12,Bachelor's,m,other,1,34,3,8,0,0,85,0
68484,Procurement,Cluster_2,Master's & above,m,sourcing,2,46,4,3,1,0,74,0
44523,HR,Cluster_2,Master's & above,m,other,1,47,3,7,0,0,44,0
35420,Operations,Cluster_2,Bachelor's,f,other,1,44,4,13,0,0,53,0
43923,Analytics,Cluster_14,Bachelor's,m,sourcing,1,31,4,4,1,0,86,0
64109,Technology,Cluster_26,Bachelor's,f,sourcing,1,23,,1,0,0,77,0
